"Entered statistic"	"p-value"	"ppr"	"ppr half"	"pp33%"	"pp33 half"	"Z-R"	"Z-R half"	"Z-33"	"z-33 half"
"f(1,36)=4.85"	0.0341359888796636	0.682719777593273	NA	0.173626859833123	NA	0.47531784059513	NA	-0.939929509087659	NA
"f(1,44)=14.02"	0.000521828954987091	0.0104365790997418	0.0208731581994837	0.933370789909339	0.968481199608619	-2.31027094958059	-2.03604022326569	1.50137568135796	1.85892619318648
"f(1,23)=4.33"	0.0487704224317429	0.975408448634858	NA	0.0123543236307371	NA	1.96700093719993	NA	-2.24592757558711	NA
"t(26)=2.08"	0.0475236209793954	0.950472419587909	NA	0.0249092887060146	NA	1.64945155197466	NA	-1.9615184284646	NA
"f(1,24)=4.40"	0.0466503889821005	0.93300777964201	NA	0.0340492107114631	NA	1.49857300310946	NA	-1.82435499361059	NA
"f(1,26)=4.25"	0.0493800454329972	0.987600908659945	NA	0.00615946498443487	NA	2.24453215118282	NA	-2.50287426541944	NA
"f(1,28)=4.72"	0.0384337407716768	0.768674815433537	NA	0.123710565738671	NA	0.734489644636612	NA	-1.15663594158408	NA
"f(1,17)=8.29"	0.0104104446638322	0.208208893276645	0.416417786553289	0.588863952872246	0.801276240681835	-0.812651690079264	-0.21106625313246	0.224623612350843	0.846188639182855
"f(1,52)=4.13"	0.0472516722962918	0.945033445925836	NA	0.0269317669927197	NA	1.5984938719188	NA	-1.92793240870462	NA
"f(1,57)=4.51"	0.0380496796081357	0.760993592162713	NA	0.124867543683914	NA	0.709502314568048	NA	-1.15099306800601	NA
"f(1,34)=4.87"	0.0341809527948012	0.683619055896023	NA	0.173477034786584	NA	0.477843091650696	NA	-0.940513809453749	NA
"f(1,22)=7.31"	0.0129704014070744	0.259408028141488	0.518816056282976	0.521261107864301	0.770445388307304	-0.645171495099443	0.0471823588829982	0.053318946848361	0.740314436192982
"f(1,27)=7.93"	0.00897414300816068	0.179482860163214	0.358965720326427	0.609958374371399	0.813913623341365	-0.91733767611294	-0.361224751332387	0.279210545424731	0.892410858068243
"f(1,22)=18.27"	0.00030871090007123	0.00617421800142459	0.0123484360028492	0.961284978802353	0.981436202899552	-2.50202742176362	-2.24611142067724	1.7657962230943	2.08435823109935
"f(1,18)=8.06"	0.0108859335439895	0.21771867087979	0.435437341759579	0.575232125651764	0.795089031211295	-0.779921059525125	-0.162547553958544	0.189710811013516	0.824207022400786
"f(1,18)=4.67"	0.0444182047292203	0.888364094584406	NA	0.0587717903697638	NA	1.2178741238107	NA	-1.56516775194381	NA
"f(1,18)=5.78"	0.027193448408835	0.543868968176699	NA	0.275980740834641	NA	0.110185749575318	NA	-0.594823463702645	NA
"f(1,29)=6.08"	0.0198288598462963	0.396577196925927	0.793154393851854	0.383138546782089	0.706147299538067	-0.262216680725698	0.817415164795154	-0.297248110969044	0.542164191607506
"t(58)=3.21"	0.00216481977174665	0.043296395434933	0.086592790869866	0.826875307560856	0.918369646978033	-1.71365127322642	-1.36203898643172	0.941889171037767	1.39418844599306
"f(1,18)=25.35"	0.000086096351588183	0.00172192703176366	0.00344385406352732	0.986805375339867	0.993634821545627	-2.92506398340775	-2.70222525930691	2.22043506022825	2.49122473315822
"f(1,24)=4.54"	0.0435580939732534	0.871161879465068	NA	0.066906556475301	NA	1.13190056515637	NA	-1.49923332349835	NA
"f(1,24)=4.43"	0.0459675099280246	0.919350198560491	NA	0.0411826406634236	NA	1.40071403881859	NA	-1.7371240261719	NA
"f(1,23)=5.16"	0.032784176004686	0.655683520093719	NA	0.194880276151787	NA	0.400710933904217	NA	-0.860051685317536	NA
"f(1,29)=5.72"	0.0234790490033108	0.469580980066215	0.939161960132431	0.32353763108746	0.677755364954526	-0.0763232108247744	1.54777665178035	-0.457829051649921	0.461431201778096
"f(1,64)=6.98"	0.0103487460998399	0.206974921996799	0.413949843993597	0.560504349045061	0.792970721348874	-0.816962525662477	-0.217396077272859	0.152248044076999	0.816772313182123
"f(1,39)=8.93"	0.00483440170197724	0.0966880340395448	0.19337606807909	0.72423893049004	0.869325915119083	-1.30065647119451	-0.865522382955564	0.595480785713271	1.12321034560006
